Date,Close
18/03/22,7404.73
17/03/22,7385.34
16/03/22,7291.68
15/03/22,7175.7
14/03/22,7193.47
11/03/22,7155.64
10/03/22,7099.09
09/03/22,7190.72
08/03/22,6964.11
07/03/22,6959.48
04/03/22,6987.14
03/03/22,7238.85
02/03/22,7429.56
01/03/22,7330.2
28/02/22,7458.25
25/02/22,7489.46
24/02/22,7207.38
23/02/22,7498.18
22/02/22,7494.21
21/02/22,7484.33
18/02/22,7513.62
17/02/22,7537.37
16/02/22,7603.78
15/02/22,7608.92
14/02/22,7531.59
11/02/22,7661.02
10/02/22,7672.4
09/02/22,7643.42
08/02/22,7567.07
07/02/22,7573.47
04/02/22,7516.4
03/02/22,7528.84
02/02/22,7583
01/02/22,7535.78
31/01/22,7464.37
28/01/22,7466.07
27/01/22,7554.31
26/01/22,7469.78
25/01/22,7371.46
24/01/22,7297.15
21/01/22,7494.13
20/01/22,7585.01
19/01/22,7589.66
18/01/22,7563.55
17/01/22,7611.23
14/01/22,7542.95
13/01/22,7563.85
12/01/22,7551.72
11/01/22,7491.37
10/01/22,7445.25
07/01/22,7485.28
06/01/22,7450.37
05/01/22,7516.87
04/01/22,7505.15
31/12/21,7384.54
30/12/21,7403.01
29/12/21,7420.69
28/12/21,7372.1
27/12/21,7372.1
24/12/21,7372.1
23/12/21,7373.34
22/12/21,7341.66
21/12/21,7297.41
20/12/21,7198.03
17/12/21,7269.92
16/12/21,7260.61
15/12/21,7170.75
14/12/21,7218.64
13/12/21,7231.44
10/12/21,7291.78
09/12/21,7321.26
08/12/21,7337.05
07/12/21,7339.9
06/12/21,7232.28
03/12/21,7122.32
02/12/21,7129.21
01/12/21,7168.68
30/11/21,7059.45
29/11/21,7109.95
26/11/21,7044.03
25/11/21,7310.37
24/11/21,7286.32
23/11/21,7266.69
22/11/21,7255.46
19/11/21,7223.57
18/11/21,7255.96
17/11/21,7291.2
16/11/21,7326.97
15/11/21,7351.86
12/11/21,7347.91
11/11/21,7384.18
10/11/21,7340.15
09/11/21,7274.04
08/11/21,7300.4
05/11/21,7303.96
04/11/21,7279.91
03/11/21,7248.89
02/11/21,7274.81
01/11/21,7288.62
29/10/21,7237.57
28/10/21,7249.47
27/10/21,7253.27
26/10/21,7277.62
25/10/21,7222.82
22/10/21,7204.55
21/10/21,7190.3
20/10/21,7223.1
19/10/21,7217.53
18/10/21,7203.83
15/10/21,7234.03
14/10/21,7207.71
13/10/21,7141.82
12/10/21,7130.23
11/10/21,7146.85
08/10/21,7095.55
07/10/21,7078.04
06/10/21,6995.87
05/10/21,7077.1
04/10/21,7011.01
01/10/21,7027.07
30/09/21,7086.42
29/09/21,7108.16
28/09/21,7028.1
27/09/21,7063.4
24/09/21,7051.48
23/09/21,7078.35
22/09/21,7083.37
21/09/21,6980.98
20/09/21,6903.91
17/09/21,6963.64
16/09/21,7027.48
15/09/21,7016.49
14/09/21,7034.06
13/09/21,7068.43
10/09/21,7029.2
09/09/21,7024.21
08/09/21,7095.53
07/09/21,7149.37
06/09/21,7187.18
03/09/21,7138.35
02/09/21,7163.9
01/09/21,7149.84
31/08/21,7119.7
27/08/21,7148.01
26/08/21,7124.98
25/08/21,7150.12
24/08/21,7125.78
23/08/21,7109.02
20/08/21,7087.9
19/08/21,7058.86
18/08/21,7169.32
17/08/21,7181.11
16/08/21,7153.98
13/08/21,7218.71
12/08/21,7193.23
11/08/21,7220.14
10/08/21,7161.04
09/08/21,7132.3
06/08/21,7122.95
05/08/21,7120.43
04/08/21,7123.86
03/08/21,7105.72
02/08/21,7081.72
30/07/21,7032.3
29/07/21,7078.42
28/07/21,7016.63
27/07/21,6996.08
26/07/21,7025.43
23/07/21,7027.58
22/07/21,6968.3
21/07/21,6998.28
20/07/21,6881.13
19/07/21,6844.39
16/07/21,7008.09
15/07/21,7012.02
14/07/21,7091.19
13/07/21,7124.72
12/07/21,7125.42
09/07/21,7121.88
08/07/21,7030.66
07/07/21,7151.02
06/07/21,7100.88
05/07/21,7164.91
02/07/21,7123.27
01/07/21,7125.16
30/06/21,7037.47
29/06/21,7087.55
28/06/21,7072.97
25/06/21,7136.07
24/06/21,7109.97
23/06/21,7074.06
22/06/21,7090.01
21/06/21,7062.29
18/06/21,7017.47
17/06/21,7153.43
16/06/21,7184.95
15/06/21,7172.48
14/06/21,7146.68
11/06/21,7134.06
10/06/21,7088.18
09/06/21,7081.01
08/06/21,7095.09
07/06/21,7077.22
04/06/21,7069.04
03/06/21,7064.35
02/06/21,7108
01/06/21,7080.46
28/05/21,7022.61
27/05/21,7019.67
26/05/21,7026.93
25/05/21,7029.79
24/05/21,7051.59
21/05/21,7018.05
20/05/21,7019.79
19/05/21,6950.2
18/05/21,7034.24
17/05/21,7032.85
14/05/21,7043.61
13/05/21,6963.33
12/05/21,7004.63
11/05/21,6947.99
10/05/21,7123.68
07/05/21,7129.71
06/05/21,7076.17
05/05/21,7039.3
04/05/21,6923.17
30/04/21,6969.81
